TestName,CheckPoint,Expected,Actual,Result
"Login Page UI Elements Test","Image Logo visibility","true","true","Pass"
"Login Page UI Elements Test","Heading Login visibility","true","true","Pass"
"Login Page UI Elements Test","Heading Login text","Login Form","Login Form","Pass"
"Login Page UI Elements Test","Label Username visibility","true","true","Pass"
"Login Page UI Elements Test","Label Password visibility","true","true","Pass"
"Login Page UI Elements Test","Label Username Text","Username","Username","Pass"
"Login Page UI Elements Test","Label Password Text","Password","Password","Pass"
"Login Page UI Elements Test","Textbox Username visibility","true","true","Pass"
"Login Page UI Elements Test","Textbox Username placeholder text","Enter your username","Enter your username","Pass"
"Login Page UI Elements Test","Textbox Password visibility","true","true","Pass"
"Login Page UI Elements Test","Textbox Password placeholder text","Enter your password","Enter your password","Pass"
"Login Page UI Elements Test","Image Username visibility","true","true","Pass"
"Login Page UI Elements Test","Image Password visibility","true","true","Pass"
"Login Page UI Elements Test","Button Login visibility","true","true","Pass"
"Login Page UI Elements Test","Checkbox RememberMe visibility","true","true","Pass"
"Login Page UI Elements Test","Checkbox RememberMe alignment","","","Pass"
"Login Page UI Elements Test","Image Twitter visibility","true","true","Pass"
"Login Page UI Elements Test","Image Facebook visibility","true","true","Pass"
"Login Page UI Elements Test","Image Linkedin visibility","true","true","Pass"
"Data-Driven Test","Iteration#1 - Check if alert is shown for invalid login","true","true","Pass"
"Data-Driven Test","Iteration#1 - Check alert message text for invalid login","Both Username and Password must be present","Both Username and Password must be present","Pass"
"Data-Driven Test","Iteration#1 - Check alert message alignment is proper for invalid login","display: block;","display: block;","Pass"
"Data-Driven Test","Iteration#2 - Check if alert is shown for invalid login","true","true","Pass"
"Data-Driven Test","Iteration#2 - Check alert message text for invalid login","Password must be present","Password must be present","Pass"
"Data-Driven Test","Iteration#2 - Check alert message alignment is proper for invalid login","display: block;","display: block;","Pass"
"Data-Driven Test","Iteration#3 - Check if alert is shown for invalid login","true","true","Pass"
"Data-Driven Test","Iteration#3 - Check alert message text for invalid login","Username must be present","Username must be present","Pass"
"Data-Driven Test","Iteration#3 - Check alert message alignment is proper for invalid login","display: block;","display: block;","Pass"
"Data-Driven Test","Iteration#4 - Check Login button visibility after valid login","false","false","Pass"
"Table Sort Test","check STATUS for row#1 after sorting","Pending","Pending","Pass"
"Table Sort Test","check DATE for row#1 after sorting","Yesterday7:45am","Yesterday7:45am","Pass"
"Table Sort Test","check DESCRIPTION for row#1 after sorting","MailChimp Services","MailChimp Services","Pass"
"Table Sort Test","check CATEGORY for row#1 after sorting","Software","Software","Pass"
"Table Sort Test","check AMOUNT for row#1 after sorting","- 320.00 USD","- 320.00 USD","Pass"
"Table Sort Test","check STATUS for row#2 after sorting","Complete","Complete","Pass"
"Table Sort Test","check DATE for row#2 after sorting","Jan 7th9:51am","Jan 7th9:51am","Pass"
"Table Sort Test","check DESCRIPTION for row#2 after sorting","Ebay Marketplace","Ebay Marketplace","Pass"
"Table Sort Test","check CATEGORY for row#2 after sorting","Ecommerce","Ecommerce","Pass"
"Table Sort Test","check AMOUNT for row#2 after sorting","- 244.00 USD","- 244.00 USD","Pass"
"Table Sort Test","check STATUS for row#3 after sorting","Pending","Pending","Pass"
"Table Sort Test","check DATE for row#3 after sorting","Jan 23rd2:7pm","Jan 23rd2:7pm","Pass"
"Table Sort Test","check DESCRIPTION for row#3 after sorting","Shopify product","Shopify product","Pass"
"Table Sort Test","check CATEGORY for row#3 after sorting","Shopping","Shopping","Pass"
"Table Sort Test","check AMOUNT for row#3 after sorting","+ 17.99 USD","+ 17.99 USD","Pass"
"Table Sort Test","check STATUS for row#4 after sorting","Pending","Pending","Pass"
"Table Sort Test","check DATE for row#4 after sorting","Jan 9th7:45pm","Jan 9th7:45pm","Pass"
"Table Sort Test","check DESCRIPTION for row#4 after sorting","Templates Inc","Templates Inc","Pass"
"Table Sort Test","check CATEGORY for row#4 after sorting","Business","Business","Pass"
"Table Sort Test","check AMOUNT for row#4 after sorting","+ 340.00 USD","+ 340.00 USD","Pass"
"Table Sort Test","check STATUS for row#5 after sorting","Declined","Declined","Pass"
"Table Sort Test","check DATE for row#5 after sorting","Jan 19th3:22pm","Jan 19th3:22pm","Pass"
"Table Sort Test","check DESCRIPTION for row#5 after sorting","Stripe Payment Processing","Stripe Payment Processing","Pass"
"Table Sort Test","check CATEGORY for row#5 after sorting","Finance","Finance","Pass"
"Table Sort Test","check AMOUNT for row#5 after sorting","+ 952.23 USD","+ 952.23 USD","Pass"
"Table Sort Test","check STATUS for row#6 after sorting","Complete","Complete","Pass"
"Table Sort Test","check DATE for row#6 after sorting","Today1:52am","Today1:52am","Pass"
"Table Sort Test","check DESCRIPTION for row#6 after sorting","Starbucks coffee","Starbucks coffee","Pass"
"Table Sort Test","check CATEGORY for row#6 after sorting","Restaurant / Cafe","Restaurant / Cafe","Pass"
"Table Sort Test","check AMOUNT for row#6 after sorting","+ 1,250.00 USD","+ 1,250.00 USD","Pass"
"Canvas Chart Test","check default canvas image matches with baseline","true","true","Pass"
"Canvas Chart Test","check canvas with next year image matches with baseline","true","true","Pass"
"Dynamic Content Test","check Image Flash Ad #1 presence","true","true","Pass"
"Dynamic Content Test","check Image Flash Ad #2 presence","true","true","Pass"
